"season","team","wins","losses","ties","playoffs","game_type","probability_to_make_playoffs"
2002,"ARI",5,11,0,0,NA,"0.04"
2002,"ATL",9,6,1,1,"DIV","43.96"
2002,"BAL",7,9,0,0,NA,"1.82"
2002,"BUF",8,8,0,0,NA,"10.77"
2002,"CAR",7,9,0,0,NA,"1.82"
2002,"CHI",4,12,0,0,NA,"0.01"
2002,"CIN",2,14,0,0,NA,"0.00"
2002,"CLE",9,7,0,1,"WC","43.96"
2002,"DAL",5,11,0,0,NA,"0.04"
2002,"DEN",9,7,0,0,NA,"43.96"
2002,"DET",3,13,0,0,NA,"0.00"
2002,"GB",12,4,0,1,"WC","99.54"
2002,"HOU",4,12,0,0,NA,"0.01"
2002,"IND",10,6,0,1,"WC","83.60"
2002,"JAX",6,10,0,0,NA,"0.29"
2002,"KC",8,8,0,0,NA,"10.77"
2002,"MIA",9,7,0,0,NA,"43.96"
2002,"MIN",6,10,0,0,NA,"0.29"
2002,"NE",9,7,0,0,NA,"43.96"
2002,"NO",9,7,0,0,NA,"43.96"
2002,"NYG",10,6,0,1,"WC","83.60"
2002,"NYJ",9,7,0,1,"DIV","43.96"
2002,"OAK",11,5,0,1,"SB","97.07"
2002,"PHI",12,4,0,1,"CON","99.54"
2002,"PIT",10,5,1,1,"DIV","83.60"
2002,"SD",8,8,0,0,NA,"10.77"
2002,"SEA",7,9,0,0,NA,"1.82"
2002,"SF",10,6,0,1,"DIV","83.60"
2002,"STL",7,9,0,0,NA,"1.82"
2002,"TB",12,4,0,1,"CHMP","99.54"
2002,"TEN",11,5,0,1,"CON","97.07"
2002,"WAS",7,9,0,0,NA,"1.82"
2003,"ARI",4,12,0,0,NA,"0.01"
2003,"ATL",5,11,0,0,NA,"0.04"
2003,"BAL",10,6,0,1,"WC","83.60"
2003,"BUF",6,10,0,0,NA,"0.29"
2003,"CAR",11,5,0,1,"SB","97.07"
2003,"CHI",7,9,0,0,NA,"1.82"
2003,"CIN",8,8,0,0,NA,"10.77"
2003,"CLE",5,11,0,0,NA,"0.04"
2003,"DAL",10,6,0,1,"WC","83.60"
2003,"DEN",10,6,0,1,"WC","83.60"
2003,"DET",5,11,0,0,NA,"0.04"
2003,"GB",10,6,0,1,"DIV","83.60"
2003,"HOU",5,11,0,0,NA,"0.04"
