"season","team","wins","losses","ties","playoffs","game_type","probability_to_make_playoffs","off_epa","def_epa","total_epa"
2002,"ARI",5,11,0,0,NA,"0.04",-0.091887,0.081884,-0.173771
2002,"ATL",9,6,1,1,"DIV","43.96",0.033308,-0.046147,0.079455
2002,"BAL",7,9,0,0,NA,"1.82",-0.056601,-0.022934,-0.033667
2002,"BUF",8,8,0,0,NA,"10.77",0.018962,0.021722,-0.00276
2002,"CAR",7,9,0,0,NA,"1.82",-0.175734,-0.111642,-0.064092
2002,"CHI",4,12,0,0,NA,"0.01",-0.130632,8.2e-05,-0.130714
2002,"CIN",2,14,0,0,NA,"0.00",-0.064765,0.080865,-0.14563
2002,"CLE",9,7,0,1,"WC","43.96",0.006825,0.000489,0.006336
2002,"DAL",5,11,0,0,NA,"0.04",-0.189435,-0.058845,-0.13059
2002,"DEN",9,7,0,0,NA,"43.96",0.063375,0.00539,0.057985
2002,"DET",3,13,0,0,NA,"0.00",-0.148573,0.066079,-0.214652
2002,"GB",12,4,0,1,"WC","99.54",0.009447,-0.077525,0.086972
2002,"HOU",4,12,0,0,NA,"0.01",-0.224295,-0.057649,-0.166646
2002,"IND",10,6,0,1,"WC","83.60",0.015631,-0.021161,0.036792
2002,"JAX",6,10,0,0,NA,"0.29",0.003742,0.012414,-0.008672
2002,"KC",8,8,0,0,NA,"10.77",0.159499,0.09762,0.061879
2002,"MIA",9,7,0,0,NA,"43.96",0.015532,-0.082429,0.097961
2002,"MIN",6,10,0,0,NA,"0.29",0.05986,0.078478,-0.018618
2002,"NE",9,7,0,0,NA,"43.96",-0.000794,0.013011,-0.013805
2002,"NO",9,7,0,0,NA,"43.96",-0.007847,-0.001994,-0.005853
2002,"NYG",10,6,0,1,"WC","83.60",0.00666,-0.058277,0.064937
2002,"NYJ",9,7,0,1,"DIV","43.96",0.057108,0.056065,0.001043
2002,"OAK",11,5,0,1,"SB","97.07",NA,NA,NA
2002,"PHI",12,4,0,1,"CON","99.54",0.006991,-0.142083,0.149074
2002,"PIT",10,5,1,1,"DIV","83.60",0.011024,-0.044321,0.055345
2002,"SD",8,8,0,0,NA,"10.77",NA,NA,NA
2002,"SEA",7,9,0,0,NA,"1.82",0.03483,0.050775,-0.015945
2002,"SF",10,6,0,1,"DIV","83.60",0.098712,0.043878,0.054834
2002,"STL",7,9,0,0,NA,"1.82",NA,NA,NA
2002,"TB",12,4,0,1,"CHMP","99.54",-0.041946,-0.206199,0.164253
2002,"TEN",11,5,0,1,"CON","97.07",0.040475,-0.02148,0.061955
2002,"WAS",7,9,0,0,NA,"1.82",-0.056051,-0.057639,0.00158800000000001
2003,"ARI",4,12,0,0,NA,"0.01",-0.156334,0.074054,-0.230388
2003,"ATL",5,11,0,0,NA,"0.04",-0.116598,0.03125,-0.147848
2003,"BAL",10,6,0,1,"WC","83.60",-0.089643,-0.193316,0.103673
2003,"BUF",6,10,0,0,NA,"0.29",-0.118424,-0.085989,-0.032435
2003,"CAR",11,5,0,1,"SB","97.07",-0.072414,-0.076315,0.00390099999999999
2003,"CHI",7,9,0,0,NA,"1.82",-0.097803,-0.009576,-0.088227
2003,"CIN",8,8,0,0,NA,"10.77",0.049014,0.077306,-0.028292
2003,"CLE",5,11,0,0,NA,"0.04",-0.102842,-0.009605,-0.093237
2003,"DAL",10,6,0,1,"WC","83.60",-0.084542,-0.123373,0.038831
2003,"DEN",10,6,0,1,"WC","83.60",0.045792,-0.071917,0.117709
2003,"DET",5,11,0,0,NA,"0.04",-0.15366,-0.01258,-0.14108
2003,"GB",10,6,0,1,"DIV","83.60",0.066558,-0.076283,0.142841
2003,"HOU",5,11,0,0,NA,"0.04",-0.100501,0.039425,-0.139926
2003,"IND",12,4,0,1,"CON","99.54",0.099647,0.00183,0.097817
2003,"JAX",5,11,0,0,NA,"0.04",-0.03272,-0.021669,-0.011051
2003,"KC",13,3,0,1,"DIV","99.93",0.12093,-0.011377,0.132307
2003,"MIA",10,6,0,0,NA,"83.60",-0.093587,-0.117956,0.024369
2003,"MIN",9,7,0,0,NA,"43.96",0.080425,-0.011188,0.091613
2003,"NE",14,2,0,1,"CHMP","99.99",-0.042645,-0.157921,0.115276
2003,"NO",8,8,0,0,NA,"10.77",-0.009221,-0.020704,0.011483
2003,"NYG",4,12,0,0,NA,"0.01",-0.121374,0.013687,-0.135061
2003,"NYJ",6,10,0,0,NA,"0.29",-0.01603,0.022971,-0.039001
2003,"OAK",4,12,0,0,NA,"0.01",NA,NA,NA
2003,"PHI",12,4,0,1,"CON","99.54",0.045789,-0.031498,0.077287
2003,"PIT",6,10,0,0,NA,"0.29",-0.083199,-0.051827,-0.031372
2003,"SD",4,12,0,0,NA,"0.01",NA,NA,NA
2003,"SEA",10,6,0,1,"WC","83.60",0.069626,-0.010975,0.080601
2003,"SF",7,9,0,0,NA,"1.82",0.026888,-0.04575,0.072638
2003,"STL",12,4,0,1,"DIV","99.54",NA,NA,NA
2003,"TB",7,9,0,0,NA,"1.82",-0.045129,-0.117058,0.071929
2003,"TEN",12,4,0,1,"DIV","99.54",0.041483,-0.084267,0.12575
2003,"WAS",5,11,0,0,NA,"0.04",-0.060064,0.048178,-0.108242
2004,"ARI",6,10,0,0,NA,"0.29",-0.096653,-0.076788,-0.019865
2004,"ATL",11,5,0,1,"CON","97.07",-0.033197,-0.024351,-0.008846
2004,"BAL",9,7,0,0,NA,"43.96",-0.111935,-0.135693,0.023758
2004,"BUF",9,7,0,0,NA,"43.96",-0.073751,-0.134201,0.06045
2004,"CAR",7,9,0,0,NA,"1.82",0.027025,-0.011706,0.038731
2004,"CHI",5,11,0,0,NA,"0.04",-0.24133,-0.102209,-0.139121
2004,"CIN",8,8,0,0,NA,"10.77",-0.059686,-0.04852,-0.011166
2004,"CLE",4,12,0,0,NA,"0.01",-0.145643,-0.001335,-0.144308
2004,"DAL",6,10,0,0,NA,"0.29",-0.049005,0.081507,-0.130512
2004,"DEN",10,6,0,1,"WC","83.60",0.059002,-0.07152,0.130522
2004,"DET",6,10,0,0,NA,"0.29",-0.071519,0.01109,-0.082609
2004,"GB",10,6,0,1,"WC","83.60",0.11193,0.083127,0.028803
2004,"HOU",7,9,0,0,NA,"1.82",-0.023077,-0.005486,-0.017591
2004,"IND",12,4,0,1,"DIV","99.54",0.239954,0.036152,0.203802
2004,"JAX",9,7,0,0,NA,"43.96",-0.03192,-0.009561,-0.022359
2004,"KC",7,9,0,0,NA,"1.82",0.173901,0.131836,0.042065
2004,"MIA",4,12,0,0,NA,"0.01",-0.173323,-0.053856,-0.119467
2004,"MIN",8,8,0,1,"DIV","10.77",0.164417,0.107173,0.057244
2004,"NE",14,2,0,1,"CHMP","99.99",0.100227,-0.088929,0.189156
2004,"NO",8,8,0,0,NA,"10.77",-0.028704,0.063051,-0.091755
2004,"NYG",6,10,0,0,NA,"0.29",-0.02929,0.006852,-0.036142
2004,"NYJ",10,6,0,1,"DIV","83.60",0.036187,-0.046728,0.082915
2004,"OAK",5,11,0,0,NA,"0.04",NA,NA,NA
2004,"PHI",13,3,0,1,"SB","99.93",0.070114,-0.027447,0.097561
2004,"PIT",15,1,0,1,"CON","100.00",0.043308,-0.132116,0.175424
2004,"SD",12,4,0,1,"WC","99.54",NA,NA,NA
2004,"SEA",9,7,0,1,"WC","43.96",0.036138,0.001958,0.03418
2004,"SF",2,14,0,0,NA,"0.00",-0.154132,0.066645,-0.220777
